name,osm_id,latitude,longitude,data_type,source,place_type,population,collection_time,collection_date,collector_class
Segba,2152603782,6.8091632,1.8212945,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kansouhoué,2152615643,6.8812297,1.753531,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
,2152615703,6.8839352,1.7675428,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Sossouhoué,2152615726,6.8829985,1.748765,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kokohoué,2152615785,6.8730591,1.7387168,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Déganhoué,2152615803,6.8558079,1.7685368,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Alfa-Kpara,2157591404,9.6139125,1.7700552,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Barerou,2157591407,9.3241848,2.5069585,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kpéssou,2157591411,9.2995812,2.1795381,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Onklou,2157591415,9.4996284,1.9847102,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Partago,2157591418,9.5342084,1.9101599,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Sanson,2157591661,9.277565,2.4291363,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Sebou,2157591662,9.3153763,2.4910668,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Serou,2157591663,9.6592364,1.7035722,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Yébéssi,2157591667,9.3381781,2.1365359,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Komiguea,2157614169,9.4480848,2.624312,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Comè,2161679329,6.4041973,1.8840863,cities,OpenStreetMap,town,80000.0,19:33:15.887706,2025-09-30,GeographicCollector
Boko,2186982840,9.4901402,2.6263978,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Ouénou,2186982846,9.7866128,2.63695,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Sirarou,2186989502,9.5891431,2.6489264,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Tamarou,2186989506,9.7352223,2.6973839,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Bori,2192783661,9.7475763,2.4386704,cities,OpenStreetMap,town,15000.0,19:33:15.887706,2025-09-30,GeographicCollector
Guessou-Banm Taka,2192783667,10.0417025,2.6473675,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Konou,2192783672,10.0147706,2.5964949,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Manta,2197505361,10.3524877,1.1106539,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Natta,2197628452,10.222478,1.1163411,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kouaba,2197637376,10.2499663,1.2298435,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kouporgou,2205181304,10.2619335,1.1278681,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Koukoua,2205489849,10.2367056,1.109964,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Badjoudè,2245162179,9.7168104,1.4142794,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Dassa-Zoumé,2248036954,7.7815402,2.183606,cities,OpenStreetMap,city,110000.0,19:33:15.887706,2025-09-30,GeographicCollector
Camaté,2248082547,7.8481126,2.2153326,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Cobli,2260507142,10.4892543,1.0081713,cities,OpenStreetMap,town,21000.0,19:33:15.887706,2025-09-30,GeographicCollector
Savalou,2282827069,7.9297324,1.9780951,cities,OpenStreetMap,city,140000.0,19:33:15.887706,2025-09-30,GeographicCollector
Biro,2293747795,9.9035389,2.9469131,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Sakarou,2293747797,9.8806778,2.7806474,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Worokpo,2293747799,9.8605504,2.9729469,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Sakparou,2302211084,9.803116,2.9744601,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kandi,2304828846,11.1311029,2.9322321,cities,OpenStreetMap,city,180000.0,19:33:15.887706,2025-09-30,GeographicCollector
Lokossa,2304867251,6.6458524,1.7171404,cities,OpenStreetMap,city,110000.0,19:33:15.887706,2025-09-30,GeographicCollector
Sakété,2304872572,6.7377567,2.6551566,cities,OpenStreetMap,city,110000.0,19:33:15.887706,2025-09-30,GeographicCollector
Gogounou,2306555809,10.8393454,2.8350479,cities,OpenStreetMap,town,14000.0,19:33:15.887706,2025-09-30,GeographicCollector
Karimama,2306558779,12.0684051,3.1844069,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Kérou,2308654107,10.8263035,2.1128252,cities,OpenStreetMap,town,98000.0,19:33:15.887706,2025-09-30,GeographicCollector
Sinendé,2311642139,10.3444859,2.3822189,cities,OpenStreetMap,town,30000.0,19:33:15.887706,2025-09-30,GeographicCollector
Materi,2312709884,10.6961681,1.0630914,cities,OpenStreetMap,town,21000.0,19:33:15.887706,2025-09-30,GeographicCollector
Toucountouna,2312709885,10.4984345,1.3780009,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Glazoué,2312747963,7.9732156,2.2406872,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Ouèssè,2312747964,8.4919261,2.4258417,cities,OpenStreetMap,city,,19:33:15.887706,2025-09-30,GeographicCollector
Adjohoun,2312907989,6.717471,2.4773959,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Bonou,2312907990,6.9052139,2.4538661,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Dangbo,2312907991,6.5850619,2.5508708,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Ouinhi,2312944481,7.0913997,2.5104408,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Zangnanado,2312944482,7.2225385,2.3870849,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Zogbodomey,2312944483,7.0682962,2.1187793,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Agbangnizoun,2312973701,7.075825,1.9705679,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Covè,2312973702,7.2195352,2.3399622,cities,OpenStreetMap,town,50000.0,19:33:15.887706,2025-09-30,GeographicCollector
Djidja,2312973703,7.3447833,1.9342593,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Za-Kpota,2312973704,7.2309196,2.2170444,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Sô-Ava,2313040349,6.4969731,2.4005373,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Allada,2313207442,6.6658411,2.1511876,cities,OpenStreetMap,city,130000.0,19:33:15.887706,2025-09-30,GeographicCollector
Athiémé,2313207444,6.5812935,1.6675163,cities,OpenStreetMap,town,60000.0,19:33:15.887706,2025-09-30,GeographicCollector
Kpomassè,2313207445,6.4450306,2.0137014,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Toffo,2313207453,6.8381029,2.1131289,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Tori-Bossito,2313207457,6.502478,2.1441704,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Aifa,2313207461,6.7927612,2.2771434,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Djakotomey,2313262061,6.9020379,1.7178953,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Sè,2313262066,6.516933,1.8229823,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Klouékanmè,2313262067,6.9796836,1.8427041,cities,OpenStreetMap,town,20000.0,19:33:15.887706,2025-09-30,GeographicCollector
Toviklin,2313262068,6.893515,1.8360905,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Adja-Ouèrè,2313302868,7.0036929,2.6101941,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Ifangni,2313302869,6.6805991,2.718289,cities,OpenStreetMap,town,23000.0,19:33:15.887706,2025-09-30,GeographicCollector
Kétou,2313302870,7.3604193,2.6024222,cities,OpenStreetMap,city,160000.0,19:33:15.887706,2025-09-30,GeographicCollector
Pobè,2313302871,6.9820238,2.666791,cities,OpenStreetMap,city,120000.0,19:33:15.887706,2025-09-30,GeographicCollector
Sèmè-Kpodji,2313302872,6.3814684,2.6044573,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Soubo-Baraworou,2325176033,10.0642278,2.8326376,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Dérassi,2325176063,10.1615049,3.261694,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Guiri-Gando,2325176095,10.194477,3.265747,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Matchorè,2325176145,10.244633,3.2481703,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Gando-Baka,2325176167,10.2707901,3.2544302,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Péonga,2325176235,10.3396832,3.2683138,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Guéné,2325176239,11.7249824,3.2233525,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Kantoro,2325176251,11.7734667,3.2157303,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Bodjécali,2325176259,11.8086997,3.3814495,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Sakaouan,2325176275,11.8392595,3.2329546,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Kargui,2325176322,11.9376893,3.2310928,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Birni-Lafia,2325176340,11.9785829,3.2205809,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Tondikoaria,2325176368,12.0329145,3.2079925,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Ouadjito,2325176379,6.5198826,1.999548,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
,2325176382,6.5363799,1.9965608,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
,2325176385,6.5427956,1.9955178,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Dékanmè,2325176387,6.5665855,1.9960127,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Dédomè,2325176390,6.5761016,2.009855,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
,2325176395,6.5938445,2.001231,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
,2325176397,6.6090768,2.0014849,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Abeokouta,2331705994,6.8123811,2.4728283,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Affamè,2331705997,6.8235981,2.4730911,cities,OpenStreetMap,town,,19:33:15.887706,2025-09-30,GeographicCollector
Ahicon,2331705998,7.072134,2.5073782,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Atchabita,2331705999,6.8969459,2.4534777,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Atchonsa,2331706000,6.8560969,2.4653551,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Bossa,2331706002,7.0005871,2.4698971,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Dasso,2331706008,7.0109964,2.4669881,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
Goutin,2331706010,6.7385557,2.4836321,cities,OpenStreetMap,village,,19:33:15.887706,2025-09-30,GeographicCollector
